id,full_name,gender,device_type,ad_position,browsing_history,time_of_day,click,cluster,age_imputed
670,User670,Female,Desktop,Top,Shopping,Afternoon,1,1,22.0
3044,User3044,Male,Desktop,Top,Entertainment,Night,1,2,40.0
5912,User5912,Non-Binary,Desktop,Side,Education,Night,1,2,41.0
5418,User5418,Male,Desktop,Bottom,Entertainment,Evening,1,1,34.0
9452,User9452,Non-Binary,Mobile,Side,Social Media,Morning,0,4,39.0
5942,User5942,Non-Binary,Mobile,Bottom,Social Media,Evening,1,4,42.0
7808,User7808,Female,Desktop,Top,Entertainment,Night,1,2,26.0
5065,User5065,Male,Mobile,Side,Education,Evening,0,3,40.0
7993,User7993,Non-Binary,Mobile,Bottom,Social Media,Morning,1,4,42.0
4509,User4509,Female,Desktop,Bottom,Education,Afternoon,1,1,40.0
2595,User2595,Male,Desktop,Bottom,Entertainment,Morning,1,2,40.0
7466,User7466,Female,Mobile,Bottom,Education,Afternoon,1,3,47.0
8171,User8171,Non-Binary,Mobile,Side,Education,Afternoon,0,3,42.0
2023,User2023,Male,Desktop,Bottom,Entertainment,Night,1,2,19.0
973,User973,Non-Binary,Mobile,Bottom,Entertainment,Morning,1,0,40.0
7529,User7529,Female,Desktop,Top,Entertainment,Afternoon,0,1,40.0
8127,User8127,Male,Tablet,Bottom,Entertainment,Morning,1,0,40.0
188,User188,Female,Tablet,Bottom,News,Morning,1,0,56.0
2124,User2124,Male,Desktop,Top,Entertainment,Evening,1,1,40.0
7335,User7335,Non-Binary,Tablet,Side,Entertainment,Night,0,0,24.0
5569,User5569,Female,Mobile,Bottom,Education,Afternoon,1,3,42.0
2272,User2272,Non-Binary,Tablet,Bottom,News,Morning,1,0,52.0
2722,User2722,Male,Desktop,Top,Entertainment,Night,1,2,39.0
316,User316,Male,Desktop,Top,Entertainment,Night,1,2,42.0
9789,User9789,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,0,36.0
4890,User4890,Male,Tablet,Bottom,Education,Afternoon,1,3,43.0
4994,User4994,Non-Binary,Mobile,Bottom,Entertainment,Night,0,0,62.0
5055,User5055,Male,Desktop,Bottom,Education,Morning,1,2,45.0
6724,User6724,Female,Desktop,Top,Entertainment,Evening,1,1,37.0
8253,User8253,Non-Binary,Desktop,Bottom,Entertainment,Night,1,2,40.0
4945,User4945,Non-Binary,Tablet,Top,Entertainment,Morning,1,0,31.0
1729,User1729,Female,Mobile,Top,Education,Afternoon,1,3,26.0
6862,User6862,Male,Tablet,Side,Education,Evening,1,3,42.0
4985,User4985,Male,Mobile,Top,News,Evening,0,3,37.0
7361,User7361,Female,Mobile,Top,Entertainment,Afternoon,0,3,42.0
1524,User1524,Non-Binary,Mobile,Bottom,Entertainment,Night,1,0,24.0
2542,User2542,Non-Binary,Mobile,Side,Education,Evening,1,3,58.0
119,User119,Female,Tablet,Top,Education,Evening,1,3,59.0
5881,User5881,Non-Binary,Tablet,Top,Entertainment,Morning,1,0,26.0
9642,User9642,Non-Binary,Desktop,Bottom,Entertainment,Evening,1,1,40.0
1171,User1171,Non-Binary,Mobile,Bottom,Entertainment,Night,1,0,40.0
1612,User1612,Male,Mobile,Side,News,Morning,1,4,40.0
9586,User9586,Female,Desktop,Bottom,Shopping,Afternoon,0,1,40.0
7661,User7661,Non-Binary,Mobile,Side,News,Night,1,0,48.0
4228,User4228,Male,Desktop,Side,Entertainment,Morning,1,2,40.0
5574,User5574,Female,Desktop,Bottom,Entertainment,Afternoon,1,1,52.0
120,User120,Male,Desktop,Side,Entertainment,Night,0,2,40.0
6143,User6143,Female,Desktop,Bottom,Entertainment,Afternoon,1,1,40.0
301,User301,Male,Tablet,Side,Social Media,Morning,1,4,42.0
5301,User5301,Male,Mobile,Side,Social Media,Morning,1,4,42.0
5439,User5439,Male,Mobile,Side,Social Media,Afternoon,1,4,38.0
9806,User9806,Male,Tablet,Bottom,Entertainment,Morning,1,0,58.0
9888,User9888,Male,Mobile,Top,News,Morning,1,0,49.0
4525,User4525,Female,Mobile,Top,Entertainment,Evening,0,3,42.0
6153,User6153,Male,Desktop,Side,Entertainment,Night,1,2,30.0
7498,User7498,Male,Mobile,Side,Shopping,Afternoon,1,4,42.0
9736,User9736,Female,Desktop,Bottom,Education,Evening,1,1,46.0
2244,User2244,Female,Mobile,Top,Education,Evening,0,3,42.0
4952,User4952,Female,Desktop,Bottom,Entertainment,Night,0,2,41.0
4855,User4855,Non-Binary,Desktop,Top,Entertainment,Night,0,2,40.0
9590,User9590,Non-Binary,Tablet,Bottom,Entertainment,Morning,0,0,40.0
813,User813,Non-Binary,Tablet,Top,Education,Morning,1,0,40.0
4957,User4957,Male,Mobile,Bottom,Social Media,Evening,1,4,58.0
9431,User9431,Female,Mobile,Top,Entertainment,Afternoon,1,3,42.0
6935,User6935,Male,Mobile,Bottom,Entertainment,Morning,0,0,40.0
2431,User2431,Male,Desktop,Top,Entertainment,Night,1,2,54.0
3164,User3164,Female,Desktop,Bottom,Entertainment,Evening,1,1,40.0
4756,User4756,Non-Binary,Mobile,Bottom,Education,Evening,1,3,42.0
1524,User1524,Non-Binary,Mobile,Bottom,Entertainment,Night,1,0,24.0
7674,User7674,Female,Desktop,Bottom,News,Afternoon,1,1,40.0
6251,User6251,Non-Binary,Mobile,Side,Shopping,Morning,1,4,44.0
6751,User6751,Female,Tablet,Top,Education,Evening,0,3,42.0
9996,User9996,Male,Desktop,Top,Shopping,Evening,0,4,48.0
2973,User2973,Non-Binary,Desktop,Bottom,Entertainment,Night,1,2,27.0
6315,User6315,Female,Desktop,Top,Entertainment,Afternoon,1,1,40.0
7065,User7065,Male,Desktop,Bottom,Entertainment,Morning,1,2,57.0
9412,User9412,Male,Mobile,Bottom,Social Media,Morning,1,4,42.0
3458,User3458,Non-Binary,Tablet,Bottom,Entertainment,Morning,0,0,40.0
6121,User6121,Female,Desktop,Top,Entertainment,Afternoon,0,1,40.0
487,User487,Female,Mobile,Side,Education,Afternoon,1,3,28.0
3266,User3266,Male,Tablet,Top,News,Afternoon,1,3,42.0
5574,User5574,Female,Mobile,Bottom,Shopping,Afternoon,1,4,52.0
6553,User6553,Male,Desktop,Bottom,Education,Morning,1,2,40.0
8996,User8996,Female,Desktop,Bottom,Entertainment,Evening,0,1,22.0
503,User503,Male,Desktop,Side,Social Media,Morning,1,4,43.0
4581,User4581,Male,Desktop,Top,Entertainment,Night,0,2,51.0
3266,User3266,Male,Tablet,Top,News,Afternoon,1,3,42.0
8956,User8956,Male,Tablet,Bottom,News,Morning,1,0,40.0
9990,User9990,Male,Desktop,Side,Entertainment,Night,1,2,40.0
7426,User7426,Non-Binary,Mobile,Side,Entertainment,Night,0,0,40.0
6100,User6100,Male,Desktop,Bottom,Education,Night,1,2,40.0
3543,User3543,Male,Desktop,Top,Entertainment,Night,1,2,40.0
7866,User7866,Male,Mobile,Top,Social Media,Morning,1,4,42.0
7917,User7917,Non-Binary,Tablet,Side,Education,Afternoon,0,3,42.0
63,User63,Female,Tablet,Top,Social Media,Morning,0,4,42.0
5340,User5340,Non-Binary,Mobile,Side,Entertainment,Night,0,0,19.0
2907,User2907,Male,Mobile,Side,News,Morning,0,4,42.0
7545,User7545,Male,Tablet,Top,News,Evening,0,3,25.0
3746,User3746,Male,Desktop,Bottom,Entertainment,Morning,1,2,40.0
6906,User6906,Non-Binary,Mobile,Top,Entertainment,Morning,1,0,40.0
1665,User1665,Female,Mobile,Bottom,Education,Afternoon,0,3,19.0
1762,User1762,Male,Desktop,Bottom,Entertainment,Afternoon,1,1,41.0
8201,User8201,Female,Desktop,Bottom,Social Media,Morning,0,4,59.0
4086,User4086,Female,Desktop,Top,Entertainment,Morning,1,2,40.0
9896,User9896,Female,Desktop,Side,Entertainment,Afternoon,0,1,45.0
1503,User1503,Male,Desktop,Side,Entertainment,Night,1,2,19.0
571,User571,Male,Tablet,Bottom,Social Media,Afternoon,0,4,42.0
7591,User7591,Male,Desktop,Top,Entertainment,Night,0,2,40.0
5531,User5531,Male,Desktop,Top,News,Night,1,2,34.0
5419,User5419,Male,Tablet,Bottom,Entertainment,Morning,1,0,40.0
9921,User9921,Female,Desktop,Side,Entertainment,Night,0,2,40.0
5338,User5338,Male,Mobile,Side,Social Media,Morning,1,4,51.0
5821,User5821,Female,Desktop,Bottom,Education,Night,0,2,31.0
4890,User4890,Male,Desktop,Bottom,Education,Afternoon,1,1,43.0
9992,User9992,Male,Desktop,Side,Shopping,Evening,1,4,42.0
9153,User9153,Non-Binary,Tablet,Bottom,Entertainment,Morning,0,0,61.0
2096,User2096,Non-Binary,Desktop,Top,Entertainment,Night,1,2,48.0
4777,User4777,Female,Tablet,Side,Entertainment,Morning,0,0,40.0
6683,User6683,Non-Binary,Tablet,Bottom,Entertainment,Night,1,0,40.0
6880,User6880,Female,Mobile,Side,News,Night,1,0,40.0
2021,User2021,Non-Binary,Mobile,Bottom,Entertainment,Night,1,0,41.0
5986,User5986,Male,Desktop,Side,Entertainment,Night,0,2,32.0
5484,User5484,Female,Mobile,Side,Education,Morning,0,0,64.0
8948,User8948,Non-Binary,Mobile,Bottom,Education,Morning,1,0,25.0
3109,User3109,Male,Desktop,Side,Entertainment,Night,1,2,40.0
3042,User3042,Female,Desktop,Side,Entertainment,Afternoon,1,1,40.0
3225,User3225,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,0,23.0
3801,User3801,Non-Binary,Desktop,Side,Entertainment,Evening,1,1,26.0
1190,User1190,Non-Binary,Tablet,Bottom,Education,Morning,1,0,40.0
1077,User1077,Non-Binary,Desktop,Top,Entertainment,Afternoon,1,1,40.0
3062,User3062,Male,Desktop,Bottom,Entertainment,Night,1,2,40.0
6060,User6060,Male,Desktop,Top,News,Morning,0,2,40.0
4697,User4697,Female,Mobile,Side,Entertainment,Afternoon,1,3,42.0
6849,User6849,Non-Binary,Mobile,Bottom,Entertainment,Night,1,0,39.0
1908,User1908,Non-Binary,Mobile,Bottom,Entertainment,Morning,1,0,26.0
5703,User5703,Female,Tablet,Side,Shopping,Night,0,4,55.0
4856,User4856,Female,Desktop,Top,Entertainment,Evening,0,1,21.0
1197,User1197,Male,Mobile,Top,Social Media,Night,1,4,42.0
9307,User9307,Male,Mobile,Side,Social Media,Evening,0,4,42.0
8683,User8683,Male,Desktop,Side,Entertainment,Night,0,2,26.0
820,User820,Non-Binary,Mobile,Side,Social Media,Afternoon,0,4,39.0
6315,User6315,Female,Desktop,Top,Entertainment,Afternoon,1,1,40.0
8010,User8010,Male,Desktop,Top,Entertainment,Night,0,2,24.0
2364,User2364,Female,Desktop,Side,Entertainment,Afternoon,0,1,54.0
4507,User4507,Male,Desktop,Bottom,Entertainment,Night,0,2,42.0
1549,User1549,Female,Desktop,Top,Entertainment,Afternoon,1,1,40.0
4630,User4630,Non-Binary,Tablet,Side,Shopping,Evening,0,4,19.0
3577,User3577,Male,Desktop,Side,Social Media,Afternoon,0,4,58.0
5845,User5845,Male,Tablet,Side,Shopping,Morning,0,4,42.0
8253,User8253,Non-Binary,Desktop,Bottom,Entertainment,Night,1,2,57.0
5418,User5418,Male,Desktop,Top,Entertainment,Night,1,2,40.0
255,User255,Male,Desktop,Bottom,Entertainment,Night,1,2,31.0
4621,User4621,Male,Desktop,Bottom,Entertainment,Night,1,2,20.0
1704,User1704,Female,Desktop,Bottom,Entertainment,Night,1,2,61.0
118,User118,Female,Tablet,Bottom,Social Media,Night,0,4,43.0
8957,User8957,Female,Mobile,Top,Entertainment,Morning,1,0,40.0
3314,User3314,Female,Tablet,Top,News,Evening,0,3,35.0
5995,User5995,Male,Desktop,Top,Entertainment,Morning,0,2,40.0
3007,User3007,Male,Desktop,Top,Shopping,Night,0,2,42.0
1325,User1325,Female,Desktop,Side,Entertainment,Evening,1,1,40.0
756,User756,Female,Desktop,Bottom,Entertainment,Evening,0,1,40.0
5194,User5194,Male,Mobile,Top,Education,Evening,1,3,53.0
4611,User4611,Female,Tablet,Side,Social Media,Night,0,4,20.0
2023,User2023,Non-Binary,Desktop,Bottom,Entertainment,Night,1,2,19.0
2565,User2565,Non-Binary,Desktop,Bottom,Shopping,Night,0,2,40.0
2965,User2965,Non-Binary,Tablet,Top,Shopping,Morning,0,4,42.0
8041,User8041,Female,Mobile,Bottom,Education,Afternoon,1,3,42.0
6258,User6258,Non-Binary,Tablet,Top,Entertainment,Night,1,0,40.0
3375,User3375,Non-Binary,Mobile,Bottom,Education,Morning,1,0,52.0
7805,User7805,Male,Mobile,Top,Education,Afternoon,0,3,36.0
3062,User3062,Male,Desktop,Bottom,Entertainment,Evening,1,1,34.0
6449,User6449,Male,Desktop,Top,Shopping,Night,1,2,42.0
9647,User9647,Non-Binary,Desktop,Side,Entertainment,Evening,0,1,34.0
5439,User5439,Male,Tablet,Side,Social Media,Afternoon,1,4,38.0
9400,User9400,Non-Binary,Mobile,Side,Education,Night,1,0,40.0
1914,User1914,Male,Mobile,Bottom,Shopping,Morning,1,4,42.0
9732,User9732,Male,Desktop,Bottom,Education,Evening,0,1,27.0
5642,User5642,Non-Binary,Tablet,Bottom,News,Morning,0,0,57.0
9689,User9689,Male,Desktop,Bottom,Entertainment,Night,1,2,40.0
7655,User7655,Male,Desktop,Bottom,Entertainment,Night,0,2,39.0
5780,User5780,Non-Binary,Mobile,Bottom,Entertainment,Morning,1,0,40.0
2976,User2976,Male,Mobile,Side,Shopping,Afternoon,0,4,42.0
6262,User6262,Male,Desktop,Bottom,Entertainment,Morning,0,2,40.0
3663,User3663,Male,Mobile,Side,Social Media,Morning,0,4,42.0
8103,User8103,Non-Binary,Desktop,Top,Entertainment,Night,0,2,40.0
2757,User2757,Female,Mobile,Bottom,Social Media,Night,0,4,35.0
9136,User9136,Non-Binary,Desktop,Side,Entertainment,Afternoon,1,1,40.0
6974,User6974,Female,Desktop,Side,Education,Evening,0,1,53.0
1486,User1486,Male,Desktop,Side,Entertainment,Morning,0,2,40.0
606,User606,Female,Desktop,Bottom,Entertainment,Afternoon,1,1,40.0
1612,User1612,Female,Mobile,Side,News,Evening,1,3,40.0
6438,User6438,Non-Binary,Tablet,Bottom,Entertainment,Night,1,0,53.0
3225,User3225,Male,Desktop,Bottom,Entertainment,Morning,1,2,23.0
9842,User9842,Non-Binary,Mobile,Side,Shopping,Afternoon,1,4,43.0
8817,User8817,Male,Tablet,Bottom,Entertainment,Night,1,0,40.0
1020,User1020,Non-Binary,Mobile,Side,Education,Morning,1,0,40.0
1635,User1635,Female,Desktop,Top,Entertainment,Night,1,2,54.0
3776,User3776,Male,Mobile,Top,Social Media,Evening,0,4,42.0
5412,User5412,Female,Mobile,Top,Education,Evening,1,3,35.0
6989,User6989,Male,Mobile,Side,Shopping,Afternoon,1,4,28.0
8018,User8018,Male,Desktop,Side,Entertainment,Night,1,2,40.0
2529,User2529,Female,Desktop,Bottom,Entertainment,Afternoon,1,1,40.0
3285,User3285,Male,Tablet,Side,News,Evening,0,3,42.0
2156,User2156,Female,Tablet,Side,Education,Evening,1,3,46.0
8530,User8530,Female,Mobile,Top,Social Media,Afternoon,1,4,52.0
9418,User9418,Male,Mobile,Side,News,Morning,1,4,20.0
8190,User8190,Female,Mobile,Side,Education,Afternoon,1,3,26.0
1140,User1140,Male,Desktop,Side,Entertainment,Evening,0,1,28.0
3149,User3149,Male,Desktop,Top,Entertainment,Night,0,2,40.0
5629,User5629,Non-Binary,Tablet,Bottom,Entertainment,Night,1,0,40.0
9748,User9748,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0,3,47.0
4086,User4086,Female,Desktop,Top,Entertainment,Morning,1,2,40.0
9400,User9400,Non-Binary,Mobile,Side,Education,Night,1,0,40.0
6449,User6449,Male,Desktop,Top,Shopping,Night,1,2,40.0
9699,User9699,Female,Mobile,Side,Shopping,Morning,0,4,42.0
2809,User2809,Non-Binary,Desktop,Top,News,Afternoon,0,1,40.0
4089,User4089,Non-Binary,Tablet,Top,Education,Afternoon,0,3,42.0
2885,User2885,Non-Binary,Desktop,Bottom,Education,Afternoon,0,1,40.0
1190,User1190,Non-Binary,Tablet,Bottom,Education,Morning,1,0,40.0
8068,User8068,Female,Mobile,Side,Shopping,Afternoon,0,4,42.0
5082,User5082,Female,Mobile,Top,Education,Afternoon,1,3,44.0
1345,User1345,Male,Desktop,Top,Entertainment,Night,0,2,34.0
4938,User4938,Male,Desktop,Side,Social Media,Evening,1,4,42.0
5623,User5623,Male,Desktop,Side,Entertainment,Morning,1,2,53.0
5329,User5329,Male,Tablet,Side,Education,Evening,1,3,54.0
